gene_name	cluster_id	A_diff	E_diff	O_diff	rank_A_diff	rank_E_diff	rank_O_diff	rank_sum	TF_rank
ZKSCAN5	c1	1.0862554609241284	0.5506938994739435	-0.3500407319774608	142	63	82	287	29
CEBPG	c2	1.0618627942101724	0.18011562024957234	0.7325472553632242	90	154	58	302	29
PAX9	c3	1.0247153482003248	0.9929780487815789	1.2733247288632512	204	47	10	261	30
ZKSCAN1	c1	1.4582995989759373	0.3374241295583896	-0.3515672757635002	121	85	84	290	30
ZNF384	c2	1.8676988150976093	0.9255288437084679	0.519378440462205	70	57	179	306	30
MEOX2	c3	6.2954054544464135	0.39074540599351365	-0.13297644858174706	42	96	128	266	31
FLI1	c1	5.221721382088993	0.3067679336852789	-0.46696244630496153	23	92	175	290	31
KLF11	c2	4.966356056476548	1.348452787483857	0.43336978965450523	12	32	266	310	31
SCRT2	c3	3.992676798292238	0.17016705335443488	-0.04318362098654127	76	129	62	267	32
ETV5	c1	5.059470665548448	0.22113264080190465	-0.45682965929319685	28	111	164	303	32
ZBTB33	c2	1.0272140567907495	0.8800201719748211	0.535654243780515	92	60	159	311	32
ASCL1	c3	14.965311713427058	0.8095299492418103	-0.1936530878695759	1	64	202	267	33
ELK1	c1	6.604338231926262	0.7887659640596107	-0.5721194243757264	7	47	249	303	33
CEBPE	c2	2.038960893923463	-0.04638635431595546	1.043255238687296	64	224	24	312	33
FIGLA	c3	7.164433290015118	0.2614337124958666	-0.13117042867632733	34	114	123	271	34
PROX1	c1	-0.46820657745104843	0.4158272530401736	0.4864442345342592	219	75	14	308	34
TEAD2	c2	7.849620822301508	0.04432717081989897	0.5735380889531854	7	183	127	317	34
ZEB1	c3	7.83774779677951	1.1296633804595746	-0.19604861973265209	23	44	204	271	35
ERF	c1	5.098042526182289	-0.07636510312826923	-0.2728287779490355	25	232	51	308	35
IRF7	c2	0.43090314481874703	0.1883958645358818	0.8256954132140422	124	153	41	318	35
RFX1	c3	3.4409988583153654	0.2794056943727848	-0.06017030530661671	93	111	73	277	36
ELF2	c1	3.9548449809677324	0.8477920136468322	-0.5437946811238827	44	41	231	316	36
KLF13	c2	2.665576197263936	0.11526390855230992	0.5999148999288924	45	163	110	318	36
SCRT1	c3	3.2609356479625156	0.6227188472873753	-0.10876586511717967	103	76	102	281	37
TCFL5	c2	2.124826391058707	3.5753143298978967	0.4398829214395974	62	5	254	321	37
STAT3	c1	0.8352471282198235	1.261692747464657	-0.42307141841872387	149	29	145	323	37
EMX2	c3	2.380425908756416	0.9593319036615331	-0.09715981956443365	134	53	96	283	38
BHLHE23	c1	-1.0704653552835581	0.6156894564105729	0.9866833718897148	257	56	12	325	38
JDP2	c2	1.716177407875971	0.001513208397344214	0.7865294945111536	75	203	49	327	38
POU6F2	c3	8.219060596624738	0.19834612540866	-0.1500954492775488	20	124	143	287	39
ATF4	c2	-1.4683729381237751	2.708331509815796	0.6847612178501983	243	10	74	327	39
MAFK	c1	3.728429659302375	0.9898290191310127	-0.5678109515007801	50	39	243	332	39
POU4F2	c3	3.7231328333895153	0.032645479535136544	0.3979298938909466	86	186	16	288	40
MYB	c2	-0.09602309700723488	2.1341983377128257	0.5316927710861581	148	16	164	328	40
FOSL2	c1	4.8876047226278905	0.13817029045622936	-0.4613237016694569	32	133	168	333	40
HESX1	c3	8.036424472085635	-0.06774320539990307	0.11780146349255816	21	239	29	289	41
SPIB	c2	0.1714212705661854	2.9346705528128703	0.5124346478632926	136	7	185	328	41
ELK3	c1	5.471899603959162	0.7062462569941634	-0.597425157251875	19	50	265	334	41
TCF4	c3	13.649771938227119	0.43089370173146346	-0.19093211268675692	2	91	197	290	42
NR1I2	c2	3.5986239475548896	-0.07182082767042	0.7599832261915527	29	248	53	330	42
SP1	c1	3.540876705411265	0.1788521344079674	-0.45315861225845033	53	120	162	335	42
RFX3	c3	3.3277548835457162	0.14774217003699033	-0.040345146975655055	100	135	60	295	43
NR3C2	c2	-1.6587348245463596	0.8050199889716784	2.158766175865992	258	67	7	332	43
PPARG	c1	-1.2822440872184868	0.7126870569194598	1.0350174130384886	276	49	11	336	43
CLOCK	c3	1.8128949572126984	0.21020280863237062	0.22868800711338366	157	123	22	302	44
POU2F3	c2	13.33946295175424	0.43022701318569406	0.4740642621787803	2	108	223	333	44
SPIB	c1	5.776444608886855	0.05057482326979268	-0.4280730327316187	16	172	148	336	44
HOXA6	c3	2.678649332523748	1.2627510060721054	-0.1608445564163823	122	33	149	304	45
HOXC9	c2	-0.5709867320571602	0.43309097628820026	0.8016920901462985	185	106	44	335	45
IRF9	c1	11.497616150035972	0.2319855107575464	-0.5412524146474524	1	108	229	338	45
HES5	c3	2.277880715847761	0.10148988470949429	0.41396875707718195	136	155	15	306	46
ZNF135	c2	1.3011242165714223	0.3318621139051563	0.5588874217557205	84	117	138	339	46
ESRRA	c1	-1.235217958218224	0.814820049861122	-0.1852700349380676	269	45	30	344	46
EVX2	c3	2.739520649368904	0.07229803498742005	0.11632105348385124	118	164	30	312	47
GRHL1	c2	3.2534531557966817	1.3021957721291624	0.4276543882669692	33	34	273	340	47
TCF7L1	c1	5.767135889262027	-0.0965330472727309	-0.3570692609256536	17	244	88	349	47
