gene_name	cluster_id	A_diff	E_diff	O_diff	rank_A_diff	rank_E_diff	rank_O_diff	rank_sum	TF_rank
TFEB	c3	0.9186126961057042	0.10186347727637317	0.042970557018515265	119	88	75	282	76
ELK1	c2	0.9956925119096003	-0.13668376500315954	0.04444809179693188	55	154	76	285	76
BHLHE41	c1	3.419592929082617	-0.08229317886522457	0.006321351035762035	38	142	118	298	76
HOXA13	c3	0.3786004988611088	0.007057225288960515	0.17222924926981165	138	118	28	284	77
ELK4	c2	-0.3929680416755717	1.2892005073456716	-0.04716128969685762	99	22	164	285	77
SOX21	c1	0.055876548440184914	-0.5318236734653233	2.755667729887385	113	189	2	304	77
ONECUT2	c3	3.8325151340816435	5.012259015596628	-0.2582263868823347	47	1	238	286	78
CREB3L1	c2	-1.853057668629346	-0.020618258358493475	0.173747657682652	157	116	14	287	78
HES5	c1	-0.6064891432159595	-0.09399766788873196	0.20278756857074676	136	147	21	304	78
EGR2	c2	4.394397626991481	-0.04835450561533049	-0.026484764040692	12	126	149	287	79
OLIG2	c3	0.9437915141220933	0.07416826430796716	0.03789427592267636	117	94	81	292	79
FOXC1	c1	-7.314686065572276	0.5712406746869132	0.15059913482835086	237	41	27	305	79
OLIG1	c3	0.2939745192789015	-0.09472141119663276	0.2842977395976405	139	142	12	293	80
ETV4	c2	1.0860723797610112	-0.30247711148124196	0.04579257134790993	51	171	74	296	80
HNF4G	c1	1.4816063426451138	-0.013278646815815172	0.01814171921583707	75	123	108	306	80
GATA2	c2	-2.289298034752988	0.15758102928567258	0.08491705383621628	171	83	43	297	81
BHLHE22	c3	0.47969328895409735	2.013579021780967	-0.02311499370312653	134	13	156	303	81
GSC	c1	-1.4418699350548583	0.012250048960759782	0.1392459023106838	166	108	33	307	81
BHLHE40	c2	-1.7123924468590648	0.10040813995257308	0.05637271732691573	147	92	59	298	82
HEY1	c3	1.1219027496194776	0.1304235380162314	0.014727983950976409	113	82	110	305	82
ETV6	c1	6.291158396670951	-0.17269286523069835	-0.02458372854989932	11	157	139	307	82
NFIL3	c2	-0.518964680769632	1.2999996998572545	-0.07096734384445647	103	21	174	298	83
NR2F1	c3	1.1528427061799758	2.966281185369279	-0.05484040221320896	111	6	188	305	83
CENPB	c1	2.638127622773927	-0.020305700009689655	-0.012964643571171663	52	127	130	309	83
EGR4	c2	3.1805216115748287	-0.25324553137687855	0.010363925301165366	18	164	117	299	84
USF2	c3	4.035570116369504	-0.5560064913520595	0.049192748112574236	42	193	72	307	84
NFKB1	c1	5.055177124852983	0.42824745568261596	-0.6099613658785561	25	46	239	310	84
ELF5	c2	2.651683012666983	-0.05473249888940062	-0.015162116529138459	29	129	141	299	85
IRF9	c1	11.497616150035972	0.2319855107575464	-1.1345808338393155	1	66	243	310	85
RFX5	c3	3.943500157170797	-5.045419832737735	0.20608299511391337	43	246	22	311	85
E2F4	c2	1.1411514863474257	0.3347983436976	-0.12456869436864793	50	60	193	303	86
HOXD12	c3	0.7838267305246011	3.022125277964582e-4	0.055843916041913744	124	119	68	311	86
HOXA13	c1	-1.5009894794162437	-0.004917532184495741	0.147998390779275	167	117	28	312	86
PPARG	c2	-0.8070616048511008	-0.27387170717851	0.10735013140021366	109	167	28	304	87
SNAI2	c3	13.042575316752758	-1.2095384792387802	0.027319003095282568	1	220	92	313	87
CUX1	c1	-0.7152644143678792	0.3000917187135129	0.0071489665153663395	140	58	115	313	87
ZBTB7C	c2	0.8519762337509026	-1.0080551903278414	0.09610096754131447	59	212	35	306	88
EGR4	c1	2.664055148857975	0.21156044853938105	-0.0769615956770302	51	72	190	313	88
DUX4	c3	0.809156992599785	-0.05133082960202641	0.07400557610560732	123	135	57	315	88
FOXP1	c2	0.6516178450954951	0.30364073986435436	-0.08304826476295268	66	62	180	308	89
EVX2	c1	-3.05982313247743	0.3607573359065355	0.06870942835862692	200	51	65	316	89
BHLHE23	c3	0.5013090167726747	-0.38959402145241023	0.41171700173944714	132	179	6	317	89
E2F6	c2	-2.2234310054240494	0.666783974808915	0.025950301629897865	168	44	99	311	90
JDP2	c1	1.4512172059695496	-0.25231497321575125	0.062422532654638374	77	169	70	316	90
PKNOX2	c3	8.307887594042047	0.007057225288960515	-0.06524669791286364	9	116	197	322	90
