"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MARCKS",51.6894580817158,-1.04202582092826,0.401843181313655,-2.59311559679027,0.00951107964443871,0.221578157876098
"MARVELD3",2.16769527956769,-1.90087902981522,0.880937430015111,-2.15779119498034,0.0309440697766395,0.345084088974478
"MBD1",10.518373280329,-1.23755719954921,0.42852996490483,-2.88791286701282,0.00387807284070494,0.153151496625655
"MBIP",11.2993120093163,-1.70309247188644,0.801100317672329,-2.12594157600003,0.0335081244995713,0.352283892335944
"MED12L",2.00239667040553,-2.39040818820617,0.893105957261075,-2.67651130167907,0.00743930567248231,0.201723290307796
"MED19",4.47227731732187,-1.55244180434785,0.731410557970362,-2.12253130260496,0.0337931469258677,0.35298591613313
"MED22",4.9242105789819,-1.15994233331833,0.497289606491453,-2.33252880851888,0.019672889200671,0.291747193558771
"METTL18",3.14637095675235,-1.65128737600679,0.78738435255357,-2.09718083760681,0.035977570137432,0.35684861628415
"METTL7A",5.55914868363966,-1.31198493839384,0.559154943689217,-2.34637098929604,0.018957227743401,0.287830607797088
"MEX3C",5.16194108133797,-1.02433693520444,0.477829357458179,-2.14372959554729,0.0320545593965873,0.34715573535965
"MGST1",10.211487635303,-3.4351247382285,1.07572324686121,-3.19331644849328,0.00140648721993895,0.0985178162421056
"MIA",2.14393058098604,-1.84791078053338,0.882490711288032,-2.09397193295811,0.0362624805634269,0.358548276596989
"MID1",3.48384062003313,-1.74994644104475,0.890105031799665,-1.96599994217155,0.0492986172911434,0.394744140285541
"MIEN1",8.92121425673013,-1.43278139582744,0.537268427395723,-2.66678874612547,0.00765797915642826,0.202237204145299
"MKI67",26.8123632140949,-1.0354250063434,0.51638115998841,-2.00515643592931,0.0449463256946281,0.384797562049326
"MMGT1",4.90246643669341,-1.65810277573826,0.633419156664888,-2.61770228811612,0.0088524001119401,0.217959976873788
"MOCS3",2.91256272609768,-2.1654720273824,0.87369580004231,-2.47851944266819,0.0131928920634605,0.252652217107517
"MPDZ",5.0674054071583,-1.3967610125818,0.585942365292314,-2.38378566787023,0.0171355791761023,0.278253029680257
"MPHOSPH6",5.21126427557715,-1.02428302632937,0.454218964375794,-2.2550424061157,0.0241306671463497,0.31444890471225
"MRPL16",4.97701605665095,-1.40732805797175,0.705835894028899,-1.99384597734006,0.0461688892465606,0.388047350916373
"MRPL18",5.30355968573101,-1.18480275039277,0.506862818927466,-2.33752152683016,0.019412082950004,0.291575987563637
"MRPL36",3.167971199141,-1.65759933527339,0.811368722062542,-2.04296676738991,0.0410557279945994,0.375282775346341
"MRPL38",5.86682627575291,-1.02356085287972,0.449635822108009,-2.27642194538905,0.0228207674350224,0.305501467677587
"MRPS12",2.68990446262096,-1.51254619732545,0.768620365225134,-1.96787161225218,0.0490828118442895,0.3938229190599
"MRPS17",4.29038618742942,-1.21965583936612,0.543634620393433,-2.24352127994248,0.0248632191846991,0.315334392330826
"MTCL1",8.58807564604843,-1.90962330193903,0.610992122885564,-3.12544667993484,0.00177535251779147,0.108958285825819
"MTMR11",2.06071535695571,-2.4885265545062,0.977350955248909,-2.5461954491797,0.0108904193628833,0.234967346975473
"MTRNR2L4",3.00961092446393,-2.07998345146975,0.967777584386528,-2.1492370613112,0.0316156128125199,0.346705939873114
"MTURN",11.9930716338162,-2.08521972534406,0.613097730334782,-3.4011212603991,0.000671100515331328,0.0628881281419067
"MYBL1",4.94296843820912,-1.32361209643215,0.633810492073229,-2.08834046293955,0.0367671339214369,0.35984793503623
"MYO3A",4.19142878261105,-3.19307815192199,0.954912799145707,-3.34384265744329,0.000826265850070437,0.0741101448523891
"NAA10",6.02683366713034,-1.57511209346274,0.586374666463828,-2.68618714884386,0.00722725950231287,0.200337080729675
"NAA50",17.2572109821706,-1.20351185155611,0.399225940674103,-3.01461335283963,0.00257307041951543,0.128111228064803
"NADK2",4.22835086631235,-1.5048814875794,0.758238607739752,-1.98470701995159,0.0471770773392424,0.390766860256508
"NARS2",3.54983904217498,-1.37688326356159,0.682496834296736,-2.01742073277214,0.0436516254546452,0.383770295005272
"NCAM1",10.8588443015439,-2.20360841649594,0.739652382419024,-2.97924872396011,0.00288956119718463,0.134885576033634
"NCAPG",12.0503543564277,-1.08766075575789,0.38248933889269,-2.84363678973819,0.00446018594864533,0.162990228493826
"NCAPH",3.38114786523498,-1.25647644214065,0.624174974246097,-2.01301957621462,0.0441125699437967,0.383770295005272
"NCAPH2",7.00183607845964,-1.1077004244959,0.428571330083279,-2.58463491778755,0.00974821568405077,0.224191106858288
"NDC1",3.88267453047633,-1.15649308344648,0.550146081194159,-2.10215635988203,0.0355395811903643,0.356668719803448
"NDUFB11",6.64939071473753,-1.14894064781877,0.465987466801658,-2.46560418395932,0.0136782390650212,0.253329864217508
"NDUFB7",5.34386922280372,-1.21280716736713,0.482799861167238,-2.51202882377595,0.0120039283742644,0.245342210470608
"NDUFS8",5.7240777549174,-1.10306753034744,0.462518254604437,-2.38491674515816,0.0170829868946358,0.278253029680257
"NELL1",2.72968252891238,-2.78104307249292,1.10686373617662,-2.5125433073626,0.0119864392062003,0.245342210470608
"NFIB",20.1767514006108,-3.52913848707164,0.932094720231178,-3.78624447759595,0.00015294120929199,0.0237096637664139
"NHS",4.7573643298018,-2.64864263871333,1.01663927211353,-2.60529246839636,0.00917958652038415,0.221196917375555
"NLGN1",3.61308146551497,-3.03592149454145,1.26173076866058,-2.4061563448788,0.0161213637101261,0.27282474947177
"NNAT",5.65868521452751,-2.21675063655044,0.825171108562902,-2.68641329482691,0.00722236904923517,0.200337080729675
"NOP10",4.66448238919076,-1.26959133160092,0.56817448033105,-2.23450960145409,0.0254495615030766,0.316662553323339
"NPNT",2.17350671498282,-2.55341417652563,0.938015993431507,-2.72214353956224,0.0064859963745027,0.19163448582266
"NR2F1",11.5625484413899,-3.52068885736402,1.54015032835047,-2.28593845195277,0.0222578595143128,0.30215345072565
"NRAS",8.76787577204122,-1.56912702813891,0.477786449342103,-3.28415975442492,0.00102286923348459,0.0850607216216291
"NRIP1",4.66468772996242,-1.64173415373603,0.720119233409498,-2.27980878383573,0.0226190318214867,0.304676372510662
"NRTN",2.07970902245134,-1.87239257618087,0.933783603388138,-2.00516754565736,0.044945138381988,0.384797562049326
"NRXN3",4.13196521912578,-2.5125481915291,1.17022035668502,-2.14707270914908,0.0317874935777084,0.346705939873114
"NT5C",8.5563295398768,-1.03593806943287,0.483055440415106,-2.14455315634713,0.0319885910515117,0.34715573535965
"NT5DC4",1.92133413037111,-1.77792527392877,0.873719016793273,-2.03489364401627,0.0418615756817493,0.377047512596406
"NTAN1",2.69053651102968,-2.06312784854189,0.86508047090252,-2.38489703320834,0.0170839022373379,0.278253029680257
"NTF3",2.90947062919863,-2.86458288672978,0.903041632818427,-3.17214930366976,0.00151315192152292,0.0994798360134204
"NUDT17",6.73619042277613,-1.70738610042445,0.563104434317545,-3.03209493012378,0.00242862812965483,0.123258890745124
"NUF2",5.35802909047577,-1.06199060513012,0.467382631516659,-2.2722081085554,0.0230739437610956,0.307905963664269
"NXT2",1.49793157873921,-2.19589209915753,0.92589123531922,-2.37165232307276,0.0177087455849046,0.280026825743739
"OPA1",7.43127839849393,-1.36843473687888,0.460027389499244,-2.97468100403428,0.00293293367199085,0.135816720944004
"OPN1SW",2.69738834178548,-1.51523657726027,0.76519065661577,-1.98020789218958,0.0476801734175628,0.391343101387312
"OR2A7",4.96048951833559,-3.34903562085903,1.50461623653282,-2.22584041002803,0.0260248729936492,0.320072801352843
"OR2B2",7.54770556912045,-2.14704436337298,0.962238287871958,-2.2313021529431,0.0256611211699067,0.317325127409083
"OST4",14.4727159938179,-1.1593378819956,0.505557108362392,-2.29318876704343,0.0218371395748135,0.299354761616739
"OXCT1",4.83592592942071,-1.68490825914945,0.659507924366847,-2.5547960788599,0.0106250024113695,0.232413414065449
"P2RY12",1.46406623490195,-2.17517947736517,0.939918063195689,-2.31422244399648,0.0206555234489801,0.295146706313952
"P2RY13",1.54477367082444,-2.25037167651008,1.00381729888248,-2.24181400242391,0.0249733958745735,0.315334392330826
"P2RY14",3.66891706568564,-2.39243883460903,0.904989551784494,-2.64360934321455,0.00820272669559688,0.209779305736477
"PAIP1",8.79618641658616,-1.00862464480816,0.495775472107226,-2.03443837292138,0.04190741622145,0.377047512596406
"PAK3",2.13377124995209,-2.50670064622495,1.01410445135913,-2.47183674508617,0.0134420886036155,0.253061928928936
"PAPD7",12.7952233689032,-1.00563967293489,0.399181327341846,-2.51925529591141,0.0117603353247839,0.244090133344317
"PAQR4",14.7187032229135,-1.09201161917756,0.402750275975288,-2.71138639578377,0.00670024964402799,0.193413873057608
"PARP2",5.35714145980894,-1.06733040954064,0.539532966749637,-1.97824873607014,0.0479006531694291,0.391343101387312
"PATE2",3.21214000166642,-2.19039242214991,1.10995396279437,-1.97340835347394,0.0484490566576641,0.391907421785754
"PATE4",5.92939071464561,-2.30234795846726,0.976047123371931,-2.35884918190567,0.0183317043252294,0.283138021170856
"PBX1",11.5170792434774,-1.43818522081254,0.628836146932258,-2.28705876376325,0.0221923933617472,0.301824908625157
"PCID2",6.10190792093268,-1.64451072781963,0.555445798280601,-2.96070423596733,0.00306936539016203,0.138952842925816
"PCP2",3.31218870846109,-2.16933371862198,0.892831960151206,-2.42972229427651,0.0151103956390213,0.265278635288147
"PDCD5",11.6329566855198,-1.1038426329018,0.44423941285127,-2.48479221106697,0.0129627072897481,0.251192462094702
"PDRG1",3.41905152606671,-1.74692975380788,0.743463403757759,-2.34971855370178,0.018787610914138,0.287215693303303
"PDZRN3",7.91702162152282,-3.88004332926286,0.9860895197814,-3.93477798052554,8.3273638254769e-05,0.0163385480557052
"PEX2",5.84954966842631,-1.17507188898853,0.462431376332137,-2.54107300916482,0.0110512840006002,0.23626922484027
"PFDN4",2.23796964229563,-1.9029172272777,0.920987656332633,-2.06617017523894,0.0388124139347687,0.366441715623226
"PGRMC1",11.3211184459514,-1.43319156182864,0.559357049099368,-2.56221239034396,0.010400769228381,0.231564643973015
"PHB",3.40278976871113,-1.73652786649353,0.774362121010676,-2.24252687389597,0.0249273404415672,0.315334392330826
"PHF10",14.1718642694837,-1.06199807758898,0.409811492918801,-2.59143068444741,0.00955777936241278,0.222103776996164
"PHGDH",1.28455381532792,-2.04743656785475,0.965558936170134,-2.12046773237464,0.033966619940203,0.353649670174239
"PIANP",5.7150093911028,-2.72405216326793,1.29774819262347,-2.09906064886217,0.0358115547505076,0.356668719803448
"PIAS2",7.8321180915121,-1.00704831255825,0.429051689857305,-2.34714915793287,0.0189176799224331,0.287830607797088
"PIGY",20.9027467693597,-1.70862898200544,0.734100297772092,-2.32751435626838,0.0199379058025397,0.29238364482508
"PIK3R4",4.36009313147102,-1.24305994165275,0.561547000761071,-2.21363472686706,0.0268539164250415,0.325173219430325
"PLEKHA5",6.96876766910692,-1.04092267196443,0.474877219403883,-2.19198274718486,0.0283807524240699,0.331707446839803
"PLEKHH2",2.51395420343386,-2.7258608873062,0.972310865592736,-2.80348701610413,0.00505532677206526,0.172502785386478
"PLEKHH3",5.14094600893169,-1.09595210325104,0.544625400107624,-2.0123044261881,0.044187856147089,0.383770295005272
"PLK1",5.09705118321196,-1.18237038942416,0.501894498211581,-2.35581460573355,0.0184821392525435,0.284228754561299
"PLOD2",3.72762519272057,-2.45373739453762,0.91786996974027,-2.6732952111201,0.00751101202722229,0.202036892587867
"PLS3",2.43507901669847,-2.65643817255484,1.11609113885972,-2.38012656857831,0.017306692505352,0.279331796644865
"PLSCR4",2.04487972025588,-2.51707791609211,0.927270288033998,-2.714502932504,0.00663753126791697,0.193367860430113
"PLXNA1",5.68385945012906,-1.53506638362769,0.66261169513896,-2.31669074797384,0.0205205839293269,0.295146706313952
"PMAIP1",8.98434413144611,-2.31225522830207,0.786606529643315,-2.93953220722761,0.00328708105991431,0.144812151961239
"PMCH",8.95094920233294,-2.31665253837875,0.745050924158246,-3.10938818174891,0.0018747523148548,0.111043701969961
"PNRC2",31.8253424176322,-1.12055805622061,0.441851476097343,-2.53605140378379,0.0112110276418545,0.23671782980772
"PODXL2",5.02973438078271,-1.26058216281876,0.54721334726966,-2.30363928275595,0.0212429007933546,0.296287401430854
"POLD3",3.78275954944721,-1.10733217241633,0.545623501811462,-2.02948034448663,0.0424093889949076,0.379028254526017
"POLR2I",8.30353806744377,-1.53032243859863,0.589144868060431,-2.59753164554708,0.00938964677593227,0.221196917375555
"POU3F2",11.1458242975731,-2.34946643683978,0.941297645151798,-2.49598673590742,0.0125607298250156,0.24931094398336
"PPM1H",3.44370230780938,-3.03032527307258,1.01663010042418,-2.98075501778691,0.00287538716869189,0.134724763721135
"PRELID2",1.51088413066683,-2.15778746951649,1.00492173851455,-2.1472194170126,0.0317758175966705,0.346705939873114
"PRR34",4.6514905189359,-2.57406659565179,0.884946107196006,-2.90872695491914,0.00362903660521912,0.152426211379642
"PRSS37",1.3346470556563,-2.11495841708658,1.06335774236613,-1.9889434503768,0.046707445105621,0.389797533879706
"PSIP1",25.4756691382445,-1.14975807460568,0.428517435182852,-2.68310687082095,0.00729416769736787,0.200861543368088
"PSMD2",15.7923911468655,-1.25508392208953,0.526687905029422,-2.38297464229678,0.0171733772399617,0.278253029680257
"PTAR1",11.0961038716507,-1.28157401587748,0.449757416111715,-2.84947834091779,0.00437909872475139,0.162043841821983
"PTOV1",19.6255873250158,-1.15894870226602,0.379332096254851,-3.0552350136156,0.00224884228524441,0.119676865825314
"PTPRG",3.51391060528265,-2.33678406518975,1.03826209941819,-2.25066875358275,0.0244065252241533,0.314653734332333
"PTPRT",2.96379595544387,-2.88568259542412,1.27525178979312,-2.2628335976633,0.0236459489604712,0.312879010639238
"PTTG1",9.75228322121697,-1.39364581923968,0.494363251874303,-2.81907244107624,0.00481626472777364,0.170364853787057
"PUS3",6.62781158546174,-1.48533031970229,0.59268836766688,-2.50608987915403,0.0122074584402703,0.247240412313668
"PXYLP1",3.41908790689396,-1.72849435610089,0.808324965856827,-2.13836566864996,0.0324870765897183,0.347908613130974
"PYGO1",2.00597208107557,-1.80199414939526,0.893519546505701,-2.01673724591963,0.0437229408553601,0.383770295005272
"PYURF",7.43814972577413,-1.38551294484458,0.60018079426654,-2.30849263768556,0.0209717518539946,0.295146706313952
"RAB34",4.06241103082036,-3.24337347250784,0.888915602084102,-3.64868550501713,0.000263585540316396,0.0337739145893162
"RAB3B",6.11468716546515,-1.62399815236542,0.720773617773323,-2.25313206854382,0.0242508230234615,0.31444890471225
"RAB42",1.45313835851323,-2.12820318470481,0.945315612286456,-2.25131496512289,0.0243655956267436,0.31444890471225
"RABL2A",6.10541134483308,-1.59851495295465,0.727372281827896,-2.19765722847942,0.0279735416940624,0.330135115650697
"RAC3",4.11317885043277,-1.13839170754658,0.563021403867322,-2.02193326883688,0.0431832462375076,0.382946343929649
"RAD1",9.374025970594,-1.85366928711539,0.515270715704427,-3.59746678904747,0.000321331509404982,0.0391743666368773
"RAD51AP1",8.24649228111552,-1.07161668457712,0.389850303752918,-2.74879017474435,0.00598156635111995,0.182307108424789
"RAI14",2.08405054221532,-1.8742241785454,0.931191276172557,-2.01271664211563,0.0441444475872953,0.383770295005272
"RALYL",11.4438539564241,-2.97829259291846,1.2019321649839,-2.47792070108912,0.0132150512343461,0.252652217107517
"RANBP6",14.2534011587168,-1.10660476078319,0.42361553139556,-2.61228561931519,0.00899390798969603,0.219720822230765
"RASD1",4.40114563919645,-2.57193017951838,1.10051984877459,-2.33701389609844,0.0194384615426064,0.291623371075877
"RASEF",4.63414622013412,-2.63617890430855,0.889452176674434,-2.96382309632986,0.0030384290444178,0.138740194584561
"RBM12B",27.1900298181779,-1.10756273539099,0.520251369807655,-2.12889922000681,0.0332625993352495,0.351581195162229
"RCBTB2",2.45633020729199,-2.70299578672338,1.0891338914651,-2.48178466201922,0.0130726248487625,0.252564505371328
"REEP4",2.48765972136657,-1.96794903456647,0.865071567975685,-2.27489736967264,0.0229120871814733,0.306397314949692
"RELL2",3.16444755593101,-2.25175332299157,0.941044971422721,-2.39282222568732,0.016719339853407,0.276912981732898
"RFXAP",6.39035266599962,-1.28052266596961,0.586969993452807,-2.1815811374565,0.0291404602500364,0.338185544694738
"RGS16",6.65399517810998,-2.00777094179803,0.831572359679481,-2.41442722142893,0.0157599711145339,0.269563134252399
"RIPPLY3",12.5321733643292,-1.65113046428921,0.699886484447209,-2.35914037630449,0.0183173252856582,0.283138021170856
"RNF113A",3.53411891725953,-2.37658424430633,1.00216127142974,-2.37145887798654,0.0177180181898791,0.280026825743739
"RNF113B",4.38395406721441,-1.99785694411626,0.769861775786416,-2.59508525679878,0.00945674580191625,0.221196917375555
"RNF139",8.17753145828133,-1.50115020833646,0.749276113283095,-2.00346732229176,0.0451271516773154,0.384960355714708
"RNF181",4.38616769525963,-1.29329268277355,0.597401958244909,-2.16486180690314,0.0303982698465008,0.342649079409794
"RNF6",1.07664289213981,-1.92652031896122,0.951672889515507,-2.02435137134358,0.0429340114433169,0.38208531657954
"ROMO1",6.13534052436649,-2.34296772519027,0.811887869483087,-2.88582674191449,0.00390387001461271,0.153260180144648
"RPL22L1",6.39596968717897,-1.51164303393897,0.728967950662221,-2.07367557457875,0.0381094511482959,0.36392259629799
"RPL37",36.4396993778118,-1.14108924286774,0.56742929678929,-2.01098048571763,0.0443275179711672,0.383770295005272
"RPL39",16.608133729018,-1.3894011612009,0.654596846827029,-2.12252956600023,0.0337932925935827,0.35298591613313
"RPP25L",1.92629695614729,-1.80271593545892,0.901274385975291,-2.00018547460234,0.0454802397045939,0.385875249980125
"RPS19BP1",5.77912755303587,-1.84200768915664,0.701653206653422,-2.62523946543651,0.00865880463761688,0.216160258120388
"RRAGD",4.14116170786756,-1.3414519377394,0.628465807113316,-2.13448674940804,0.0328029571778435,0.3493424474307
